"","age","racem","ugloanr","actcap","actded","actmgt","actrd","actrdt","actres","acttch","bapbpr","bayr","chchg","chcon","chfam","chlay","chloc","chot","chpay","chret","chsch","ctzfor","dgrdg","dgryr","eddad","edmom","emrg","emsecdt","facadv","facben","facchal","facind","facloc","facresp","facsal","facsec","facsoc"
"247",33,"4","04","N","N","N","Y","Y","Y","N","1",2006,"Y","N","Y","N","Y","N","Y","N","N","L","2",2009,"2","2","02","12","2","1","2","1","1","2","1","1","1"
"248",35,"3","05","L","L","L","L","L","L","L","2",2005,"L","L","L","L","L","L","L","L","L","L","1",2005,"2","2","L","L","2","1","2","2","2","2","1","2","2"
"249",32,"4","04","N","N","Y","N","N","N","N","1",2007,"L","L","L","L","L","L","L","L","L","L","1",2007,"2","2","02","12","2","3","1","2","2","2","2","1","2"
"250",33,"4","02","Y","N","Y","N","N","N","N","1",2005,"Y","Y","Y","N","Y","N","Y","N","N","L","1",2005,"8","2","02","21","1","1","1","2","1","1","1","2","2"
"251",33,"1","02","N","Y","Y","Y","Y","N","N","L",2003,"N","N","Y","N","Y","N","N","N","N","2","2",2006,"5","5","02","23","1","1","1","1","1","1","2","1","2"
"252",30,"4","12","N","N","Y","N","N","N","N","2",2008,"Y","Y","N","N","N","N","N","N","N","L","4",2011,"4","4","02","21","2","2","2","2","1","2","1","3","1"
"253",34,"6","02","N","N","Y","Y","Y","Y","N","2",2004,"L","L","L","L","L","L","L","L","L","L","1",2004,"7","4","09","21","2","1","2","2","1","2","1","1","2"
"254",35,"3","08","N","N","Y","N","N","N","N","2",2003,"L","L","L","L","L","L","L","L","L","L","1",2003,"2","2","02","21","1","1","1","1","1","1","1","1","1"
"255",35,"1","02","N","Y","Y","Y","Y","N","N","L",2003,"L","L","L","L","L","L","L","L","L","1","2",2009,"2","1","02","21","1","1","2","1","1","2","1","1","2"
"256",32,"4","06","N","N","N","N","Y","N","Y","1",2006,"N","N","N","N","N","N","Y","N","Y","L","3",2017,"4","3","02","11","2","2","2","2","1","2","1","1","2"
"257",34,"4","04","N","Y","Y","Y","Y","N","N","1",2004,"L","L","L","L","L","L","L","L","L","L","1",2004,"2","1","02","21","3","1","2","3","1","2","1","1","2"
"258",30,"4","05","N","N","Y","N","Y","N","Y","1",2008,"L","L","L","L","L","L","L","L","L","L","2",2013,"2","3","02","12","2","1","2","1","1","2","1","1","2"
"259",33,"4","02","N","N","Y","N","Y","N","Y","2",2005,"L","L","L","L","L","L","L","L","L","L","3",2009,"6","7","09","11","2","2","1","1","2","1","2","2","1"
"260",35,"3","04","N","N","Y","N","Y","N","Y","1",2004,"L","L","L","L","L","L","L","L","L","L","3",2013,"4","4","01","11","1","1","1","1","1","1","1","1","3"
"261",35,"6","04","N","N","Y","N","N","N","N","1",2003,"L","L","L","L","L","L","L","L","L","L","1",2003,"5","4","05","31","2","1","2","2","1","2","1","1","2"
"262",32,"4","09","N","N","Y","N","N","N","N","2",2007,"L","L","L","L","L","L","L","L","L","L","1",2007,"2","3","03","11","2","1","2","1","1","2","1","1","1"
"263",35,"3","06","N","Y","N","Y","Y","N","N","1",2004,"L","L","L","L","L","L","L","L","L","L","1",2004,"2","2","03","21","1","1","1","1","1","1","1","1","3"
"264",31,"4","06","N","Y","N","Y","Y","N","N","1",2007,"N","N","N","N","N","N","N","N","Y","L","4",2011,"5","5","01","23","1","2","1","1","1","1","2","2","1"
"265",30,"4","02","N","Y","Y","Y","Y","N","N","1",2008,"L","L","L","L","L","L","L","L","L","L","1",2008,"5","4","08","21","1","2","1","1","1","1","2","2","1"
"266",32,"6","02","N","N","N","N","N","N","N","1",2008,"L","L","L","L","L","L","L","L","L","L","1",2008,"8","8","07","12","1","1","1","2","1","2","1","1","2"
"267",30,"4","02","N","N","Y","N","N","N","N","1",2008,"N","Y","N","N","Y","N","N","N","N","L","2",2014,"5","5","03","21","2","1","2","3","1","2","1","1","2"
"268",30,"1","02","N","Y","Y","Y","Y","N","N","L",2007,"Y","N","N","N","N","N","N","N","N","2","2",2009,"2","2","07","21","1","2","1","1","3","1","2","3","2"
"269",32,"4","03","N","N","N","Y","Y","Y","N","1",2006,"L","L","L","L","L","L","L","L","L","L","1",2008,"7","4","09","31","3","2","2","2","1","3","2","1","3"
